county,median_sale_price,ppsf_year_avg,property_type,state,year
Taylor,139950.0,101.75526128467614,All Residential,Wisconsin,2021
Hillsborough,155000.0,167.0414512328419,Condo/Co-op,Florida,2021
Gloucester,210000.0,132.80288888999277,Multi-Family (2-4 Unit),New Jersey,2021
Walworth,290000.0,155.2985647875565,All Residential,Wisconsin,2021
Frederick,365000.0,151.36050158881147,All Residential,Virginia,2021
Lincoln,165000.0,95.53476804813046,All Residential,Wisconsin,2021
Otter Tail,204026.0,129.65831143943842,All Residential,Minnesota,2021
Maui,1125000.0,737.7850626724369,Townhouse,Hawaii,2021
Grundy,282000.0,140.3329656857398,Single Family Residential,Tennessee,2021
Windsor,319250.0,177.41059793952246,Multi-Family (2-4 Unit),Vermont,2021
Seminole,147000.0,71.54999838962395,All Residential,Oklahoma,2021
Monroe,555000.0,548.5368033226516,Townhouse,Florida,2021
Simpson,147500.0,87.50791303266472,All Residential,Mississippi,2021
Dorchester,187500.0,142.62063017643504,Townhouse,South Carolina,2021
Burlington,291000.0,150.52084524506296,All Residential,New Jersey,2021
Montgomery,190000.0,105.32435250393652,All Residential,Kentucky,2021
Colleton,315000.0,200.4614077740768,All Residential,South Carolina,2021
Franklin,584000.0,232.9246512669939,All Residential,Florida,2021
Franklin,281862.0,154.87677709162887,All Residential,North Carolina,2021
Lac qui Parle,112500.0,72.64349884049848,Single Family Residential,Minnesota,2021
Wilson,376250.0,188.2981811858119,Single Family Residential,Texas,2021
Franklin,175000.0,107.26314147600333,All Residential,Kentucky,2021
Hart,311175.0,132.59971959180737,All Residential,Georgia,2021
Howard,125000.0,74.63065160589498,All Residential,Arkansas,2021
Beltrami,279900.0,117.9061059228192,Multi-Family (2-4 Unit),Minnesota,2021
Monterey,405000.0,493.60873398169497,Condo/Co-op,California,2021
Lancaster,219900.0,138.94586188688157,Condo/Co-op,Nebraska,2021
Marshall,109900.0,101.80009184074612,All Residential,Oklahoma,2021
Cobb,334950.0,161.5516917505927,Townhouse,Georgia,2021
